threat_id,threat_category,threat_description,source,source_detail,relevance_to_org,researcher_verified,verification_notes
T-001,Ransomware,"Ransomware deployment targeting core banking and on-premises infrastructure via hybrid AD compromise, with double extortion (data exfiltration + encryption)",ENISA ETL 2024; IOCTA 2024,"ENISA Ch.4 (prime threat #1); IOCTA Sec.2.1-2.2 (RaaS landscape, LockBit, Cl0p, 8Base, Akira)","Direct: T24 on-premises, hybrid AD with Azure AD Connect, partial air-gap backups, after-hours SOC gap. LockBit/Cl0p target financial sector (ENISA Fig.25).",verified,
T-002,Ransomware,"Ransomware targeting virtualisation infrastructure (ESXi, Azure VMs) to maximize disruption of migrated workloads",ENISA ETL 2024,ENISA Sec.2.2 (cybercrime actor trends: targeting virtualisation environments),"Direct: ~80 Azure VMs hosting migrated workloads; Windows Server 2019/2022 on-prem. ESXi variants (LockBit, BlackCat) documented.",verified,
T-003,Ransomware,"Exploitation of known vulnerabilities in perimeter devices (Palo Alto PAN-OS, Cisco AnyConnect) as ransomware initial access vector",CISA KEV; ENISA ETL 2024,"KEV: CVE-2024-0012/9474 (PAN-OS auth bypass + cmd injection, ransomware-associated); ENISA Sec.2.2 (zero-day/one-day exploits)",Direct: Palo Alto NGFW deployed at zone boundaries; Cisco AnyConnect VPN for 40% hybrid workforce.,verified,
T-004,Social Engineering,"Spear-phishing targeting employees with credential harvesting pages mimicking M365 login or Azure portal, exploiting hybrid work VPN credential reset pretexts",ENISA ETL 2024; IOCTA 2024,"ENISA Ch.6 (phishing as #1 initial vector, 73% of social eng. breaches); IOCTA Sec.4.1 (phishing-as-a-service)",Direct: 40% hybrid staff using VPN. M365 environment. Financial sector targeted in 10% of social eng. events (ENISA Fig.7).,verified,
T-005,Social Engineering,Business Email Compromise (BEC) targeting treasury/CFO staff for fraudulent payment instructions or SWIFT-related pretexts,ENISA ETL 2024; IOCTA 2024,"ENISA Sec.6.1 (BEC: $4.67M avg breach cost, 22,000 FBI complaints); IOCTA Sec.4.3 (BEC/CEO fraud key EU threat)","Direct: SWIFT operations, treasury staff, M365 email. Financial sector highly targeted for BEC.",verified,
T-006,Social Engineering,Adversary-in-the-Middle (AiTM) phishing to bypass MFA and steal post-authentication session tokens for M365/Azure access,ENISA ETL 2024,"ENISA Sec.6.6 (MFA bypass via AiTM proxies like Evilginx2, intercepting session tokens)",Direct: MFA enforced for remote access and cloud admin. AiTM bypasses MFA entirely by capturing session cookies.,verified,
T-007,Social Engineering,AI-enhanced social engineering using deepfakes and LLM-generated phishing content for more convincing targeted attacks,ENISA ETL 2024; IOCTA 2024,"ENISA Sec.6.8 (AI in social engineering); IOCTA Sec.5.1 (AI-assisted cybercrime, FraudGPT)",Relevant: Lowers barrier for targeted attacks against NordFinans staff. AI deepfakes for vishing.,exclude,Generic AI-enhanced social engineering trend; not org-specific; hard to map beyond T1566
T-008,Social Engineering,Call-back phishing combining email phishing with vishing (phone-based social engineering) to deliver malicious payloads,ENISA ETL 2024,"ENISA Sec.6.7 (call-back phishing, Silent Ransom Group, fraudulent call centres)",Relevant: Bypasses email-only technical controls. Targets employees directly.,exclude,Somewhat generic call-back phishing; maps to T1566 but limited additional ATT&CK specificity
T-009,Credential Attack,Credential stuffing and account takeover against web/mobile banking portals using breach datasets and automated tooling,IOCTA 2024; ENISA ETL 2024,IOCTA Sec.4.2 (ATO as growing threat); ENISA Sec.6.1 (credential theft),"Direct: ~200,000 active monthly web banking users. Mobile banking API. Credential stuffing low-risk/high-profit for criminals.",verified,
T-010,Credential Attack,"Brute force and password spraying against hybrid AD and VPN endpoints, leveraging leaked credentials from third-party breaches",ENISA ETL 2024; CISA KEV,ENISA Sec.2.1 (targeting identities); KEV: CVE-2020-1472 (Zerologon privilege escalation),"Direct: Hybrid AD with ~3,500 accounts. MFA not enforced for all internal apps.",verified,
T-011,Credential Attack,"Information stealer malware (Redline, Vidar) targeting employee endpoints to harvest browser credentials, session tokens, and VPN passwords",ENISA ETL 2024; IOCTA 2024,"ENISA Sec.5.1 (info stealers persist and evolve, essential in attack chains); ENISA Sec.2.2 (rise of info stealers); IOCTA Sec.2.3 (Redline MaaS)",Direct: CrowdStrike Falcon EDR deployed but info stealers increasingly evasive. Harvested VPN/M365 credentials enable initial access.,verified,
T-012,Malware,"Malware delivery via novel mechanisms (OneNote, ISO, LNK files) bypassing legacy email security and Mark-of-the-Web protections",ENISA ETL 2024,ENISA Sec.5.2 (new malware delivery mechanisms),Relevant: Microsoft Defender for Office 365 deployed. Novel delivery bypasses traditional attachment blocking.,verified,
T-013,Malware,Mobile banking trojan targeting NordFinans mobile banking app users on Android via fake apps or overlay attacks,ENISA ETL 2024,"ENISA Sec.5.3 (surge in mobile banking trojans, increasing complexity)",Direct: Native iOS/Android mobile banking apps. ~800 corporate-managed mobile devices.,verified,
T-014,Malware,"Malware-as-a-Service (MaaS) loaders/droppers (IcedID, Pikabot, SystemBC, DanaBot) used as precursors for ransomware or data theft",ENISA ETL 2024; IOCTA 2024,ENISA Sec.5.4 (MaaS significant threat); IOCTA Sec.2.3 (QakBot alternatives),Relevant: These loaders enable ransomware deployment. Financial sector specifically targeted by dropper campaigns.,exclude,"Describes precursor MaaS tooling, not a specific threat scenario; may be too generic per GP5"
T-015,Supply Chain,"Compromise of third-party software supply chain (CI/CD pipelines, package repositories) injecting malicious code into production banking applications",ENISA ETL 2024; IOCTA 2024,"ENISA Sec.1.5 (XZ Utils backdoor, supply chain via social engineering); CISA KEV: CVE-2025-30066/30154 (GitHub Actions malicious code)",Direct: Azure DevOps CI/CD pipelines. .NET/Java/Python development. Internal NuGet/Maven/pip packages.,verified,
T-016,Supply Chain,Compromise of MSSP (Nordic managed security provider) used as pivot into NordFinans monitoring infrastructure and Sentinel configuration,ENISA ETL 2024,ENISA Sec.1.6 (ICT service management 3% of supply chain events); ENISA Sec.2.1 (cloud services for stealth),Direct: Nordic MSSP provides after-hours SOC via VPN + API integration. MSSP compromise blinds detection.,verified,
T-017,Supply Chain,Compromise of Temenos T24 vendor support VPN to access core banking system directly,ENISA ETL 2024,ENISA Sec.1.5 (third-party supply chain attacks documented); ATT&CK T1199 Trusted Relationship,Direct: Temenos rated Critical. Vendor support VPN provides trusted access to T24 environment.,verified,
T-018,Supply Chain,Compromise of Euronet (ATM processor) via dedicated VPN to access ATM network segment and potentially pivot to internal banking network,ENISA ETL 2024; IOCTA 2024,ENISA Sec.1.5 (supply chain); IOCTA Sec.4.5 (ATM attacks decreased but still present),Direct: ~120 ATMs managed by Euronet via dedicated VPN tunnels. Man-in-the-middle and relay attacks noted.,verified,
T-019,Supply Chain,Dependency confusion or typosquatting attack targeting internal package namespaces in Azure DevOps build pipelines,ENISA ETL 2024; CISA KEV,"ENISA Sec.1.5 (name confusion, tricking developers); KEV supply chain entries",Direct: Azure DevOps with .NET/Java/Python packages. Internal package names potentially discoverable via job postings.,verified,
T-020,Data Breach,Exfiltration of customer PII and financial data from cloud storage (Azure Blob) or M365 SharePoint via misconfigured access controls during cloud migration,ENISA ETL 2024,ENISA Ch.7 (threats against data); ENISA Sec.7.5 (cloud computing and data breaches),"Direct: Cloud migration in progress. Azure workload security controls still being standardized. ~500,000 customer records.",verified,
T-021,Data Breach,Data exfiltration from core banking Oracle DB via SQL injection or direct database access following lateral movement,ENISA ETL 2024; CISA KEV,ENISA Ch.7 (data breaches); KEV: Oracle E-Business Suite entries (CVE-2025-61884 SSRF),Direct: Temenos T24 on Oracle DB. Legacy Java customizations increase attack surface.,verified,
T-022,Data Breach,Insider-driven data exfiltration of customer financial records or SWIFT transaction data by privileged employee,ENISA ETL 2024; IOCTA 2024,ENISA Sec.7.1 (data breach trends); IOCTA Sec.4.2 (ATO and data theft),Direct: CyberArk manages ~200 privileged accounts. Quarterly recertification may miss role changes. SWIFT operator access.,verified,
T-023,DDoS,Volumetric DDoS attack against Azure Front Door endpoints (web/mobile banking) causing service disruption,ENISA ETL 2024,"ENISA Ch.8 (DDoS prime threat #2; banking 12% of DDoS targets); ENISA Sec.8.1 (attacks larger, more complex, cheaper)",Direct: Web banking behind Azure Front Door WAF+CDN. Banking sector is 3rd most DDoS-targeted (ENISA).,verified,
T-024,DDoS,Application-layer (L7) DDoS targeting API gateway and authentication endpoints with crafted requests that bypass WAF rules,ENISA ETL 2024,ENISA Sec.8.7 (application vs network attacks); ENISA Sec.8.5 (DDoS as smokescreen),Direct: PSD2 APIs via Azure API Management. REST API endpoints potentially less rate-limited than web portal.,verified,
T-025,DDoS,Ransom DDoS (RDoS) with extortion demand threatening sustained attacks unless payment is made,ENISA ETL 2024,ENISA Sec.8.6 (Ransom Denial of Service),Relevant: Financial institutions are prime RDoS targets due to availability requirements.,exclude,RDoS overlaps with T-023/T-024 (DDoS); may be redundant
T-026,DDoS,"DDoS as distraction/smokescreen for simultaneous intrusion activity (initial access, privilege escalation)",ENISA ETL 2024,ENISA Sec.8.5 (DDoS as smokescreen and horizontal attacks),"Direct: Small SOC team of 5 analysts. DDoS incident would consume SOC attention, enabling parallel intrusion.",verified,
T-027,Vulnerability Exploitation,"Exploitation of known vulnerabilities in Microsoft Windows (privilege escalation, CLFS driver, kernel) to achieve SYSTEM-level access on endpoints",CISA KEV,"KEV: CVE-2025-29824 (CLFS use-after-free, ransomware); CVE-2024-49039 (Task Scheduler); CVE-2024-30088 (kernel TOCTOU)","Direct: ~2,200 Windows 11 endpoints. Windows Server 2019/2022 on-premises.",verified,
T-028,Vulnerability Exploitation,Exploitation of Microsoft SharePoint/Exchange vulnerabilities for remote code execution on collaboration platforms,CISA KEV,"KEV: CVE-2025-53770, CVE-2025-49704 (SharePoint RCE, ransomware); CVE-2021-26855 (ProxyLogon)",Direct: SharePoint Online via M365. Exchange Online. Historical ProxyLogon attacks targeted financial sector.,verified,
T-029,Vulnerability Exploitation,Exploitation of Log4j (CVE-2021-44228) or Java deserialization vulnerabilities in Temenos T24 legacy Java components,CISA KEV; ENISA ETL 2024,"KEV: CVE-2021-44228 (Log4Shell, ransomware); ENISA Sec.3.4 (KEV analysis)",Direct: T24 has legacy Java customizations on older versions. Oracle DB backend. Java ecosystem widely targeted.,verified,
T-030,Vulnerability Exploitation,Exploitation of SAP NetWeaver vulnerabilities to compromise S/4HANA Cloud ERP/HR system,CISA KEV,"KEV: CVE-2025-31324 (file upload, ransomware); CVE-2020-6287 (missing auth)",Direct: SAP S/4HANA Cloud for financials and HR. Contains employee PII and financial data.,verified,
T-031,SWIFT Fraud,"SWIFT messaging fraud via compromised operator credentials or lateral movement into SWIFT secure zone, targeting Alliance Lite2 for fraudulent MT103/MT202 messages",MITRE ATT&CK Groups; SWIFT CSP,"ATT&CK: Lazarus Group (G0032), APT38 (G0082) — documented SWIFT-targeting campaigns (Bangladesh Bank, FASTCash)",Direct: Alliance Lite2 for interbank messaging. CyberArk-vaulted SWIFT operator credentials. After-hours SOC gap.,verified,
T-032,SWIFT Fraud,Targeting of SWIFT secure zone HSMs or key management infrastructure to forge or manipulate transaction authentication,SWIFT CSP,SWIFT CSP threat intelligence: attacks on HSM-protected key material documented in SWIFT ISAC reports,Direct: SWIFT secure zone with HSMs. Compromise of HSM keys would enable undetected fraudulent transactions.,exclude,"Source (SWIFT CSP) not directly consulted; content inferred, not extracted from document"
T-033,Financial Fraud,Malicious or compromised Third-Party Provider (TPP) abusing PSD2 Open Banking APIs for unauthorized account enumeration or payment initiation,IOCTA 2024; ENISA ETL 2024,IOCTA Sec.4.6 (online fraud and money laundering); PSD2 regulatory context,"Direct: PSD2-compliant APIs exposed via Azure API Management with OAuth 2.0. ~500,000 retail customers accessible via AISP scope.",verified,
T-034,Financial Fraud,Digital skimming attacks targeting web banking portal payment pages to intercept customer card data or transaction details,IOCTA 2024,IOCTA Sec.4.4 (digital skimming persistent threat; e-merchants and banks most targeted),"Direct: .NET web banking portal on Azure App Service. ~200,000 active monthly users.",verified,
T-035,Financial Fraud,ATM jackpotting or black-box attacks via physical access to ATMs or network-level manipulation through Euronet VPN,IOCTA 2024,IOCTA Sec.4.5 (ATM attacks: man-in-the-middle and relay attacks continue despite 40% decrease),Direct: ~120 ATMs across Sweden managed by Euronet. Dedicated VPN tunnels.,verified,
T-036,APT/Espionage,"Nation-state cyber espionage targeting financial intelligence, correspondent banking relationships, and M&A data",ENISA ETL 2024; MITRE ATT&CK Groups,"ENISA Sec.2.1 (state-nexus group trends); ATT&CK: Lazarus (G0032), APT38 (G0082) — financial sector targeting",Relevant: Publicly traded bank on Nasdaq Stockholm. SWIFT correspondent relationships. Strategic intelligence value.,verified,
T-037,APT/Espionage,APT lateral movement using Living-off-the-Land techniques (LOTL) to evade CrowdStrike EDR and blend into normal administrative activity,ENISA ETL 2024; MITRE ATT&CK Groups,"ENISA Sec.2.2 (LOTL for evasion); ATT&CK: FIN7 (G0046), TA505 (G0092) use signed binaries, PowerShell","Direct: CrowdStrike Falcon EDR deployed. LOTL techniques use legitimate system tools (PSExec, WMI, PowerShell).",verified,
T-038,APT/Espionage,"APT leveraging cloud services (Azure, M365) for C2 communications to blend with legitimate organizational cloud traffic",ENISA ETL 2024,"ENISA Sec.2.1 (leveraging cloud services for stealth and strategy, disguising C2 as ordinary traffic)",Direct: Heavy Azure and M365 usage. Cloud-based C2 traffic would blend with legitimate Azure traffic from NordFinans.,verified,
T-039,Cloud Security,"Azure cloud misconfiguration exploitation during active migration — exposed storage accounts, management APIs, or overly permissive Managed Identity roles",ENISA ETL 2024,ENISA Sec.7.5 (cloud computing and data breaches); ENISA Sec.2.2 (relying on cloud services),Direct: Cloud migration in progress. Security controls for Azure workloads still being standardized (acknowledged gap).,verified,
T-040,Cloud Security,Abuse of Azure AD Connect synchronization account to pivot from compromised on-premises AD into Azure tenant (or vice versa),ENISA ETL 2024; CISA KEV,ENISA Sec.2.1 (targeting identities); KEV: CVE-2020-1472 (Zerologon enables domain compromise),Direct: Hybrid AD with Azure AD Connect. Sync account has high privileges in both environments.,verified,
T-041,Identity,Exploitation of after-hours SOC coverage gap (18:00-08:00 CET) for extended dwell-time attacks with degraded detection,ENISA ETL 2024,ENISA Sec.2.2 (cybercrime actor trends: timing attacks); confirmed org gap in profile,Direct: Internal SOC business-hours only. MSSP monitoring has less institutional context and higher escalation latency.,verified,
T-042,Identity,"Abuse of M365 OAuth consent grants to establish persistent access to mailboxes and SharePoint, surviving credential resets",ENISA ETL 2024,ENISA Sec.2.1 (state-nexus actors targeting identities); ENISA Sec.2.2 (relying on cloud services),Direct: M365 environment. OAuth consent grants are persistent and often not reviewed.,verified,
T-043,Identity,Kerberoasting or AS-REP roasting against hybrid AD service accounts to obtain crackable ticket hashes for privilege escalation,MITRE ATT&CK Groups,ATT&CK: FIN7 (G0046) uses Kerberoasting; Carbanak (G0008) targets AD; TA505 (G0092) credential theft,"Direct: Hybrid AD with ~3,500 accounts including service accounts. MFA not enforced for internal apps.",verified,
T-044,Hacktivism,Hacktivist DDoS and defacement campaigns motivated by geopolitical events targeting Nordic financial institutions,ENISA ETL 2024,"ENISA Sec.2.4 (hacktivists: conflict-driven, DDoS and defacements, potential state-nexus links)",Relevant: Swedish bank in Nordic region. Geopolitical tensions drive hacktivist targeting of financial sector.,exclude,Generic hacktivist DDoS; overlaps with T-023; relevance is Relevant not Direct
T-045,Fraud/Money Laundering,Money mule networks and cryptocurrency laundering leveraging compromised customer accounts for layering stolen funds,IOCTA 2024,IOCTA Sec.4.6 (online fraud and money laundering); IOCTA Sec.1.1 (cryptocurrency criminal use),"Relevant: ~500,000 retail customers. Compromised accounts can be used for money mule operations.",exclude,Downstream fraud consequence (money mules); not a cyber threat with clear ATT&CK technique mapping
